id:[303075344]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[4]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[-6.5900001525878906,-0.1099998950958252]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075348]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[5]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[+0.1099998950958252,+6.5900001525878906]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075352]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[6]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[+6.8100004196166992,+13.2899999618530273]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075356]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[7]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[+13.5100002288818359,+19.9899997711181641]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075360]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[8]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[+20.2100009918212891,+26.6900005340576172]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303079428]; subdetid:[1]; layer:[1]; ladder:[10]; module:[1]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[-26.6900005340576172,-20.2100009918212891]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079432]; subdetid:[1]; layer:[1]; ladder:[10]; module:[2]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[-19.9899997711181641,-13.5100002288818359]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079436]; subdetid:[1]; layer:[1]; ladder:[10]; module:[3]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[-13.2899999618530273,-6.8100004196166992]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079440]; subdetid:[1]; layer:[1]; ladder:[10]; module:[4]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[-6.5900001525878906,-0.1099998950958252]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079444]; subdetid:[1]; layer:[1]; ladder:[10]; module:[5]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[+0.1099998950958252,+6.5900001525878906]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079448]; subdetid:[1]; layer:[1]; ladder:[10]; module:[6]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[+6.8100004196166992,+13.2899999618530273]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079452]; subdetid:[1]; layer:[1]; ladder:[10]; module:[7]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[+13.5100002288818359,+19.9899997711181641]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303079456]; subdetid:[1]; layer:[1]; ladder:[10]; module:[8]; phi:[-1.5684067010879517,-1.0815964937210083]; z:[+20.2100009918212891,+26.6900005340576172]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303083524]; subdetid:[1]; layer:[1]; ladder:[11]; module:[1]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[-26.6900005340576172,-20.2100009918212891]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083528]; subdetid:[1]; layer:[1]; ladder:[11]; module:[2]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[-19.9899997711181641,-13.5100002288818359]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083532]; subdetid:[1]; layer:[1]; ladder:[11]; module:[3]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[-13.2899999618530273,-6.8100004196166992]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083536]; subdetid:[1]; layer:[1]; ladder:[11]; module:[4]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[-6.5900001525878906,-0.1099998950958252]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083540]; subdetid:[1]; layer:[1]; ladder:[11]; module:[5]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[+0.1099998950958252,+6.5900001525878906]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083544]; subdetid:[1]; layer:[1]; ladder:[11]; module:[6]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[+6.8100004196166992,+13.2899999618530273]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083548]; subdetid:[1]; layer:[1]; ladder:[11]; module:[7]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[+13.5100002288818359,+19.9899997711181641]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303083552]; subdetid:[1]; layer:[1]; ladder:[11]; module:[8]; phi:[-1.0903823375701904,-0.5124233961105347]; z:[+20.2100009918212891,+26.6900005340576172]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303087620]; subdetid:[1]; layer:[1]; ladder:[12]; module:[1]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[-26.6900005340576172,-20.2100009918212891]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087624]; subdetid:[1]; layer:[1]; ladder:[12]; module:[2]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[-19.9899997711181641,-13.5100002288818359]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087628]; subdetid:[1]; layer:[1]; ladder:[12]; module:[3]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[-13.2899999618530273,-6.8100004196166992]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087632]; subdetid:[1]; layer:[1]; ladder:[12]; module:[4]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[-6.5900001525878906,-0.1099998950958252]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087636]; subdetid:[1]; layer:[1]; ladder:[12]; module:[5]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[+0.1099998950958252,+6.5900001525878906]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087640]; subdetid:[1]; layer:[1]; ladder:[12]; module:[6]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[+6.8100004196166992,+13.2899999618530273]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087644]; subdetid:[1]; layer:[1]; ladder:[12]; module:[7]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[+13.5100002288818359,+19.9899997711181641]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303087648]; subdetid:[1]; layer:[1]; ladder:[12]; module:[8]; phi:[-0.5380540490150452,-0.0175540782511234]; z:[+20.2100009918212891,+26.6900005340576172]; r:[3.1478052139282227,3.1753542423248291]; 
